sampling_seed,instance_id,seed,pressure_type,cost_profile,ood_factor,terminated,truncated,termination_reason,decisions,makespan,completed_orders,unfinished_orders,feasibility_proxy_return,total_flow_time,flow_time_objective,reconfiguration_cost,worker_load_variance,quality_score,heuristic_quality_score,inference_time_seconds,solve_time_seconds,inference_time_per_decision_ms,heuristic_completed,heuristic_makespan,heuristic_flow_time,heuristic_reconfiguration_cost,heuristic_worker_load_variance,relative_heuristic_gap_percent,makespan_heuristic_gap_percent,reconfiguration_cost_heuristic_gap_percent,worker_load_variance_heuristic_gap_percent,maximum_worker_fatigue,mean_peak_worker_fatigue,safe_fatigue_limit,fatigue_masked_action_count,fatigue_masked_action_ratio,worker_competition_event_count,worker_matching_deficit_event_count,resource_admission_masked_action_count,resource_admission_masked_action_ratio,minimum_worker_alternatives,matching_preserving_worker_action_count,candidate_recovery_advance_count,machine_waiting_for_worker_time,completed_reconfigurations,worker_switch_ratio,schedule_violation_count,total_effective_load,max_module_load,ready_configuration_gap_ratio,heuristic_reconfiguration_ratio,mean_wave_overlap_ratio
100011,test_worker_bottleneck_3000010,3000010,worker_bottleneck,balanced_cost,,True,False,completed,384,154.8,17,0,2.0,1473.9000000000003,1473.9000000000003,1044.73543696617,4.6622222222222245,0.4459487113855858,0.426753864029975,2.271357359512181,43.97717559999728,5.914993123729638,True,131.6,1411.0,885.5354371528,4.2466666667,4.457831325301227,17.629179331307004,17.97782371366578,9.785452641733807,0.5139690232,0.4280734395666667,0.75,0,0.0,0,0,0,0.0,1,114,0,0.0,23,0.9565217391304348,0,0.37140625,0.285,0.6351351351,0.2702702703,0.863569781
100011,test_fatigue_bottleneck_3000011,3000011,fatigue_bottleneck,downtime_dominant,,True,False,completed,361,152.20000000000002,16,0,2.0,1400.1000000000008,1400.1000000000008,1275.74788024927,5.645555555555558,0.45770597702802296,0.46022548533123575,2.081415773313376,42.35845390000031,5.765694662917938,True,155.6,1359.4,1588.2646503272,2.7880555556,2.9939679270266826,-2.1850899742930445,-19.67661812617613,102.49078409560647,0.6581684355000004,0.5658937677166668,0.75,0,0.0,0,0,2,0.013793103448275862,1,100,1,0.0,21,1.0,0,0.37296875,0.3129166667,0.6478873239,0.3521126761,0.837026842
100011,test_high_arrival_pressure_3000012,3000012,high_arrival_pressure,labor_dominant,,True,False,completed,356,161.20000000000002,18,0,2.0,1519.6,1519.6,645.3541397299002,12.272222222222226,0.4364625086169461,0.4203647910697706,2.0499744271588365,41.907503700000234,5.758355132468642,True,147.5,1417.8,664.788838714,8.7433333333,7.180138242347296,9.288135593220352,-2.9234394220118394,40.360909900141195,0.3153,0.20426844230000005,0.75,0,0.0,0,0,0,0.0,1,82,0,0.0,16,1.0,0,0.4078645833,0.2234166667,0.4743589744,0.2179487179,0.8389194958
100011,test_balanced_3000013,3000013,balanced,labor_dominant,,True,False,completed,322,210.3,16,0,2.0,827.6,827.6,627.1323641375699,1.0066666666666675,0.3236573967945561,0.2916216724475102,1.8369228843018648,38.613610899992636,5.704729454353617,True,212.2,743.9,479.9341331664,0.7591666667,11.251512300040334,-0.8953817153628546,30.670506804760677,32.601536766955036,0.234,0.19623333333333337,0.75,0,0.0,0,0,0,0.0,2,98,0,0.0,17,1.0,0,0.3177604167,0.1965833333,0.203125,0.203125,0.2758291141
100011,test_machine_bottleneck_3000014,3000014,machine_bottleneck,fixed_cost_dominant,,True,False,completed,375,173.9,16,0,2.0,1159.4999999999998,1159.4999999999998,927.329369529141,7.533333333333332,0.4162407512254861,0.3657795379720409,2.1836008428431963,43.383413200004725,5.822935580915191,True,174.7,979.0,806.1868284032,1.8755555556,18.437180796731337,-0.45792787635946364,15.026608827867587,301.6587677629938,0.3881,0.32047438505000003,0.75,0,0.0,0,0,2,0.02197802197802198,1,129,0,0.0,25,1.0,0,0.3988020833,0.3510833333,0.3768115942,0.3188405797,0.541603475
100011,test_reconfiguration_bottleneck_3000015,3000015,reconfiguration_bottleneck,balanced_cost,,True,False,completed,404,197.8,18,0,2.0,1324.5000000000002,1324.5000000000002,1332.5905513200703,8.598055555555566,0.46306267693580067,0.4772857016919196,2.5339976578498273,45.02370799999335,6.2722714303213545,True,192.9,1263.1,1459.4857049089,13.6366666667,4.861056131739397,2.5401762571280484,-8.694511577744468,-36.948993726219385,0.7398000000000002,0.5962172610666667,0.75,2,0.016260162601626018,0,0,0,0.0,1,121,0,0.0,24,1.0,0,0.4205208333,0.2645,0.5125,0.325,0.5635713635
100011,test_balanced_3000016,3000016,balanced,labor_dominant,,True,False,completed,250,210.10000000000002,15,0,2.0,658.5999999999998,658.5999999999998,427.9588795975901,3.0466666666666646,0.27857302721889865,0.22137183204544184,1.3999553900037427,30.822495200001867,5.599821560014971,True,204.4,589.5,222.5222508066,0.5191666667,11.721798134011841,2.788649706457934,92.32183660120378,486.83788118222515,0.21930000000000005,0.1659793785166667,0.75,0,0.0,0,0,0,0.0,2,63,0,0.0,11,1.0,0,0.2790625,0.1825,0.1153846154,0.1153846154,0.3424017059
100011,test_balanced_3000017,3000017,balanced,balanced_cost,,True,False,completed,385,192.5,18,0,2.0,1026.7000000000003,1026.7000000000003,909.3262671607008,3.5322222222222224,0.3866160903584705,0.35748572867507683,2.285245499514563,44.0563153999974,5.935702596141721,True,188.2,909.3,874.7748669754,0.4947222222,12.911030462993548,2.284803400637626,3.9497476996298397,613.9809096334186,0.30689999999999995,0.2796,0.75,0,0.0,0,0,5,0.036231884057971016,1,116,1,0.0,22,0.9545454545454546,0,0.38875,0.2271666667,0.2933333333,0.28,0.3670759957
100011,test_balanced_3000018,3000018,balanced,labor_dominant,,True,False,completed,302,205.60000000000002,16,0,2.0,761.6999999999999,761.6999999999999,494.35677558994985,1.6188888888888906,0.2996600309432134,0.28616238467408317,1.7152205643012424,36.59932910000498,5.679538292388219,True,199.6,714.0,476.1479916875,0.7288888889,6.680672268907553,3.0060120240481103,3.8241858036440974,122.10365853319986,0.14,0.12680000000000002,0.75,0,0.0,0,0,0,0.0,2,82,0,0.0,14,1.0,0,0.3177083333,0.1680833333,0.234375,0.21875,0.3526886143
100011,test_balanced_3000019,3000019,balanced,downtime_dominant,,True,False,completed,369,225.0,18,0,2.0,1040.3000000000002,1040.3000000000002,1000.8103385335502,3.9522222222222183,0.3968902995835462,0.3673188659480026,2.1345897531604145,42.974430499991286,5.784796079025514,True,224.2,911.6,833.7142729268,4.0733333333,14.118034225537533,0.3568242640499605,20.042365955922783,-2.973267866090983,0.2545,0.21760827535000005,0.75,0,0.0,0,0,0,0.0,1,103,0,0.0,19,1.0,0,0.40375,0.207,0.2133333333,0.2133333333,0.2394692812
